Expense Category,Budgeted Amount,Actual Amount,Variance,Variance %,Comments
Employee Benefits,70922.46,57096.119522431756,-13826.34047756825,-19.5,Lower due to reduced benefits claims
Salaries and Wages,32721.83,31872.19754870549,-849.6324512945102,-2.6,Overdue to overtime and staffing needs
Technology Equipment,57940.91,63975.97938845597,6035.069388455966,10.42,High due to unexpected upgrades
Marketing Expenses,53319.58,51279.186677364174,-2040.3933226358276,-3.83,Increased campaign costs
Technology Equipment,72211.95,65230.759557318306,-6981.190442681691,-9.67,High due to unexpected upgrades
Miscellaneous Expenses,28526.74,35559.85503146326,7033.115031463258,24.65,Unexpected miscellaneous costs
Employee Benefits,24181.54,23731.148021958885,-450.3919780411161,-1.86,Lower due to reduced benefits claims
Travel Expenses,20588.39,21437.1585194487,848.7685194487021,4.12,Under budget due to reduced travel
Employee Benefits,16851.41,18217.750248757508,1366.3402487575077,8.11,Lower due to reduced benefits claims
Utilities,12291.81,14275.692413418654,1983.8824134186543,16.14,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,27676.3,30373.170452175524,2696.8704521755244,9.74,Savings from in-house expertise
Technology Equipment,49810.06,56583.394762565156,6773.334762565159,13.6,High due to unexpected upgrades
Employee Benefits,17618.71,19764.92260622671,2146.2126062267125,12.18,Lower due to reduced benefits claims
Consulting Fees,77077.46,91233.94521142943,14156.485211429419,18.37,Savings from in-house expertise
Salaries and Wages,78216.57,83082.98024976887,4866.410249768858,6.22,Overdue to overtime and staffing needs
Salaries and Wages,81928.19,65792.49471752577,-16135.695282474233,-19.69,Overdue to overtime and staffing needs
Travel Expenses,70459.76,75909.11473826448,5449.35473826449,7.73,Under budget due to reduced travel
Miscellaneous Expenses,28095.08,33995.016439545805,5899.936439545803,21.0,Unexpected miscellaneous costs
Employee Benefits,86327.49,75789.09064445189,-10538.399355548114,-12.21,Lower due to reduced benefits claims
Technology Equipment,37386.46,38487.21586870848,1100.755868708482,2.94,High due to unexpected upgrades
Technology Equipment,77903.99,92889.34696072919,14985.356960729187,19.24,High due to unexpected upgrades
Salaries and Wages,99470.12,120252.93267859294,20782.81267859295,20.89,Overdue to overtime and staffing needs
Miscellaneous Expenses,26832.74,30667.747879911258,3835.007879911256,14.29,Unexpected miscellaneous costs
Employee Benefits,81947.72,100334.25128068883,18386.531280688825,22.44,Lower due to reduced benefits claims
Office Supplies,49069.87,54328.615522574386,5258.745522574383,10.72,Overdue to remote work increase
Employee Benefits,13824.65,13319.054863685726,-505.595136314274,-3.66,Lower due to reduced benefits claims
Technology Equipment,54530.54,66272.7628993186,11742.222899318593,21.53,High due to unexpected upgrades
Marketing Expenses,38636.13,33464.0959617512,-5172.034038248799,-13.39,Increased campaign costs
Technology Equipment,46036.29,43712.55385853407,-2323.7361414659317,-5.05,High due to unexpected upgrades
Employee Benefits,68636.09,58731.92791152211,-9904.16208847789,-14.43,Lower due to reduced benefits claims
Technology Equipment,53132.39,52026.310566890854,-1106.0794331091456,-2.08,High due to unexpected upgrades
Miscellaneous Expenses,23739.73,27379.25672241369,3639.5267224136915,15.33,Unexpected miscellaneous costs
Utilities,26313.86,29656.259395473302,3342.3993954733014,12.7,"Efficient usage, possibly due to energy-saving initiatives"
Travel Expenses,69248.32,64854.766284203135,-4393.553715796872,-6.34,Under budget due to reduced travel
Employee Benefits,34978.28,35649.22716583391,670.9471658339098,1.92,Lower due to reduced benefits claims
Travel Expenses,92456.74,102712.52414791773,10255.78414791773,11.09,Under budget due to reduced travel
Marketing Expenses,59081.3,72554.1746992804,13472.874699280394,22.8,Increased campaign costs
Utilities,96202.45,80522.82198511806,-15679.628014881935,-16.3,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,83348.59,79136.46768606943,-4212.122313930566,-5.05,Overdue to overtime and staffing needs
Employee Benefits,75297.7,95700.16675638623,20402.46675638623,27.1,Lower due to reduced benefits claims
Travel Expenses,60340.39,56018.25701292485,-4322.132987075151,-7.16,Under budget due to reduced travel
Consulting Fees,24578.15,29947.26503769048,5369.115037690477,21.85,Savings from in-house expertise
Utilities,66743.63,84455.43075710422,17711.80075710421,26.54,"Efficient usage, possibly due to energy-saving initiatives"
Marketing Expenses,54901.44,61539.96993725747,6638.529937257466,12.09,Increased campaign costs
Utilities,70646.67,90930.19822986225,20283.528229862248,28.71,"Efficient usage, possibly due to energy-saving initiatives"
Salaries and Wages,21407.9,26172.003346763177,4764.103346763175,22.25,Overdue to overtime and staffing needs
Salaries and Wages,15781.02,19543.40904526042,3762.389045260421,23.84,Overdue to overtime and staffing needs
Consulting Fees,50942.35,42754.73303769656,-8187.616962303437,-16.07,Savings from in-house expertise
Employee Benefits,61537.69,63946.16566094924,2408.4756609492397,3.91,Lower due to reduced benefits claims
Technology Equipment,88778.79,103713.49499195589,14934.704991955892,16.82,High due to unexpected upgrades
Technology Equipment,82032.26,100413.65702859864,18381.397028598643,22.41,High due to unexpected upgrades
Employee Benefits,54662.51,52574.685587884036,-2087.824412115966,-3.82,Lower due to reduced benefits claims
Training and Development,59371.06,70855.65687632246,11484.596876322466,19.34,Underutilized training budget
Miscellaneous Expenses,56852.62,59731.242895453826,2878.6228954538237,5.06,Unexpected miscellaneous costs
Salaries and Wages,90598.47,111024.45439344476,20425.984393444756,22.55,Overdue to overtime and staffing needs
Miscellaneous Expenses,26657.13,24334.089611819923,-2323.0403881800776,-8.71,Unexpected miscellaneous costs
Utilities,24515.11,21567.354007487178,-2947.7559925128226,-12.02,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,21776.27,23052.375021771844,1276.105021771844,5.86,Unexpected miscellaneous costs
Employee Benefits,84432.86,98714.41667064052,14281.556670640522,16.91,Lower due to reduced benefits claims
Miscellaneous Expenses,77929.13,79711.35138782112,1782.2213878211187,2.29,Unexpected miscellaneous costs
Salaries and Wages,22078.37,25563.510186094267,3485.140186094268,15.79,Overdue to overtime and staffing needs
Consulting Fees,52513.01,57850.71846579011,5337.708465790107,10.16,Savings from in-house expertise
Office Supplies,30864.47,26689.073944511132,-4175.396055488869,-13.53,Overdue to remote work increase
Employee Benefits,20381.15,17202.846942670843,-3178.303057329158,-15.59,Lower due to reduced benefits claims
Salaries and Wages,71708.64,72543.4075440413,834.7675440413004,1.16,Overdue to overtime and staffing needs
Salaries and Wages,73316.71,93293.14577790775,19976.43577790774,27.25,Overdue to overtime and staffing needs
Training and Development,19358.35,23359.38748666239,4001.0374866623897,20.67,Underutilized training budget
Training and Development,23693.43,25370.180569118864,1676.7505691188635,7.08,Underutilized training budget
Salaries and Wages,83304.75,81346.32867705468,-1958.4213229453162,-2.35,Overdue to overtime and staffing needs
Consulting Fees,38851.3,48379.72780236863,9528.427802368627,24.53,Savings from in-house expertise
Consulting Fees,32456.11,30630.435926246322,-1825.6740737536784,-5.63,Savings from in-house expertise
Travel Expenses,62035.71,62539.67459644921,503.96459644920833,0.81,Under budget due to reduced travel
Employee Benefits,15968.74,16678.79436645696,710.0543664569614,4.45,Lower due to reduced benefits claims
Employee Benefits,90101.46,116607.5219759166,26506.0619759166,29.42,Lower due to reduced benefits claims
Miscellaneous Expenses,70986.45,58164.86531650344,-12821.584683496556,-18.06,Unexpected miscellaneous costs
Training and Development,88711.06,87313.33165804093,-1397.7283419590676,-1.58,Underutilized training budget
Office Supplies,10251.55,13128.588368302668,2877.0383683026685,28.06,Overdue to remote work increase
Technology Equipment,44872.22,39469.11790782141,-5403.102092178589,-12.04,High due to unexpected upgrades
Marketing Expenses,18810.51,18585.363218389364,-225.1467816106342,-1.2,Increased campaign costs
Office Supplies,85491.75,109141.74740373975,23649.997403739748,27.66,Overdue to remote work increase
Employee Benefits,37433.33,39546.11148989009,2112.7814898900906,5.64,Lower due to reduced benefits claims
Technology Equipment,25264.07,30806.716383236748,5542.646383236748,21.94,High due to unexpected upgrades
Utilities,91493.24,432958.81890985154,341465.57890985155,373.21,"Efficient usage, possibly due to energy-saving initiatives"
Training and Development,42053.62,37896.49124403641,-4157.128755963589,-9.89,Underutilized training budget
Utilities,75333.65,89089.01216296063,13755.362162960635,18.26,"Efficient usage, possibly due to energy-saving initiatives"
Employee Benefits,51381.03,52388.03335967631,1007.0033596763096,1.96,Lower due to reduced benefits claims
Utilities,10780.35,9406.873961229698,-1373.4760387703027,-12.74,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,82055.23,78058.4624067129,-3996.7675932870916,-4.87,Savings from in-house expertise
Marketing Expenses,39201.17,38776.00082237863,-425.1691776213702,-1.08,Increased campaign costs
Marketing Expenses,63814.8,57534.539497866615,-6280.2605021333875,-9.84,Increased campaign costs
Consulting Fees,52385.73,66818.03625479361,14432.306254793606,27.55,Savings from in-house expertise
Marketing Expenses,20213.84,21542.063303523733,1328.2233035237332,6.57,Increased campaign costs
Employee Benefits,73762.74,86970.50345006587,13207.76345006586,17.91,Lower due to reduced benefits claims
Travel Expenses,57086.19,55367.42876200235,-1718.761237997649,-3.01,Under budget due to reduced travel
Office Supplies,11005.72,10879.51901914931,-126.20098085069003,-1.15,Overdue to remote work increase
Utilities,75703.94,77899.9391538269,2195.999153826895,2.9,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,12348.18,12017.035879133282,-331.14412086671837,-2.68,Savings from in-house expertise
Technology Equipment,60971.15,69845.04216398759,8873.892163987584,14.55,High due to unexpected upgrades
Utilities,58763.88,59522.609555994415,758.7295559944178,1.29,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,47003.08,48365.352714125096,1362.2727141250944,2.9,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,93726.84,94652.23320766019,925.3932076601923,0.99,Savings from in-house expertise
Marketing Expenses,80034.27,102820.94480686075,22786.67480686074,28.47,Increased campaign costs
Office Supplies,83900.01,67909.12701058759,-15990.882989412406,-19.06,Overdue to remote work increase
Utilities,87530.86,76544.86639410531,-10985.993605894691,-12.55,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,65027.19,56846.97647325816,-8180.213526741842,-12.58,"Efficient usage, possibly due to energy-saving initiatives"
Utilities,30419.1,33471.94582754958,3052.8458275495796,10.04,"Efficient usage, possibly due to energy-saving initiatives"
Consulting Fees,50304.93,58988.46099975961,8683.530999759612,17.26,Savings from in-house expertise
Office Supplies,11544.24,14887.592289484508,3343.352289484508,28.96,Overdue to remote work increase
Training and Development,99486.88,109459.92621878824,9973.046218788237,10.02,Underutilized training budget
Consulting Fees,83097.61,72903.55050146053,-10194.059498539471,-12.27,Savings from in-house expertise
Utilities,79360.15,74302.84849189283,-5057.301508107164,-6.37,"Efficient usage, possibly due to energy-saving initiatives"
Miscellaneous Expenses,41173.69,40126.893950624326,-1046.7960493756764,-2.54,Unexpected miscellaneous costs
Miscellaneous Expenses,67528.13,58116.028448873556,-9412.101551126449,-13.94,Unexpected miscellaneous costs
Travel Expenses,84103.15,83056.42716877811,-1046.7228312218795,-1.24,Under budget due to reduced travel
Salaries and Wages,85488.8,88992.43856308913,3503.638563089131,4.1,Overdue to overtime and staffing needs
Employee Benefits,53497.32,63310.43685220919,9813.11685220919,18.34,Lower due to reduced benefits claims
Miscellaneous Expenses,39493.3,38879.298106421506,-614.0018935784974,-1.55,Unexpected miscellaneous costs
Training and Development,22871.89,19876.509420788592,-2995.380579211407,-13.1,Underutilized training budget
Salaries and Wages,14542.27,18350.059367510738,3807.789367510737,26.18,Overdue to overtime and staffing needs
Marketing Expenses,59759.74,65245.54192624008,5485.801926240085,9.18,Increased campaign costs
Salaries and Wages,79707.04,79976.58939875847,269.54939875847776,0.34,Overdue to overtime and staffing needs
Office Supplies,34376.47,43319.60498843456,8943.134988434562,26.02,Overdue to remote work increase
Employee Benefits,56879.34,55263.410786732915,-1615.9292132670816,-2.84,Lower due to reduced benefits claims
Employee Benefits,46387.98,44580.10691099213,-1807.8730890078732,-3.9,Lower due to reduced benefits claims
Miscellaneous Expenses,98380.7,84388.34332187807,-13992.356678121927,-14.22,Unexpected miscellaneous costs
Office Supplies,46083.04,50431.020241368205,4347.980241368205,9.44,Overdue to remote work increase
Miscellaneous Expenses,82804.32,86303.17417399593,3498.8541739959182,4.23,Unexpected miscellaneous costs
Technology Equipment,68824.16,72323.86513091554,3499.705130915536,5.08,High due to unexpected upgrades
Miscellaneous Expenses,80928.23,104241.99191343327,23313.761913433278,28.81,Unexpected miscellaneous costs
Office Supplies,55234.12,53539.523253010586,-1694.5967469894167,-3.07,Overdue to remote work increase
Office Supplies,81185.98,100753.07942006837,19567.099420068378,24.1,Overdue to remote work increase
